127.0.0.1 - - [22/Aug/2019:08:38:46 +0800] "GET / HTTP/1.1" 404 1036
127.0.0.1 - - [22/Aug/2019:08:38:47 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:18 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
127.0.0.1 - - [22/Aug/2019:08:39:21 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:21 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:21 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:22 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:22 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:22 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:22 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:22 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:22 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:23 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:23 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:23 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:23 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:23 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:24 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 345
127.0.0.1 - - [22/Aug/2019:08:39:59 +0800] "GET /day07/cookiepath/writerCookie.jsp HTTP/1.1" 200 420
127.0.0.1 - - [22/Aug/2019:08:40:03 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 338
127.0.0.1 - - [22/Aug/2019:08:40:13 +0800] "GET /day07/cookiepath/writerCookie.jsp HTTP/1.1" 200 420
127.0.0.1 - - [22/Aug/2019:08:40:15 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 338
127.0.0.1 - - [22/Aug/2019:08:40:18 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 338
127.0.0.1 - - [22/Aug/2019:08:40:18 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 338
127.0.0.1 - - [22/Aug/2019:08:40:18 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 338
127.0.0.1 - - [22/Aug/2019:08:40:19 +0800] "GET /day07/cookie2.jsp HTTP/1.1" 200 338
